,site,NAAMP,file_name,folder_date,Lcapito,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140415_203600.wav,W15,1,20140415_203600,4-14-14,False,95.76821760902912,2014,3a,180.0,2014-04-15 20:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140415_193600.wav,W15,2,20140415_193600,4-14-14,False,26.171832304920827,2014,3a,94.0,2014-04-15 19:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140415_003600.wav,W15,1,20140415_003600,4-14-14,False,34.59431224037536,2014,3a,154.5,2014-04-15 00:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140414_233600.wav,W15,1,20140414_233600,4-14-14,False,24.723791257930017,2014,3a,230.0,2014-04-14 23:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140414_223600.wav,W15,2,20140414_223600,4-14-14,False,60.0399261775969,2014,3a,81.5,2014-04-14 22:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140414_213600.wav,W15,2,20140414_213600,4-14-14,False,21.77838032148558,2014,3a,179.5,2014-04-14 21:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140414_203600.wav,W15,2,20140414_203600,4-14-14,False,36.316431846305605,2014,3a,211.0,2014-04-14 20:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140414_193600.wav,W15,2,20140414_193600,4-14-14,False,20.28641528127085,2014,3a,282.0,2014-04-14 19:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140328_002400.wav,W37,2,20140328_002400,3-24-14,False,47.15861114609967,2014,3a,136.0,2014-03-28 00:24:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140327_232400.wav,W37,2,20140327_232400,3-24-14,False,53.281286377223736,2014,3a,242.5,2014-03-27 23:24:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140327_222400.wav,W37,1,20140327_222400,3-24-14,False,53.65131830926421,2014,3a,102.5,2014-03-27 22:24:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140327_212400.wav,W37,1,20140327_212400,3-24-14,False,69.86930975286742,2014,3a,78.5,2014-03-27 21:24:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140327_202400.wav,W37,2,20140327_202400,3-24-14,False,53.373920181528455,2014,3a,197.5,2014-03-27 20:24:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140327_192400.wav,W37,1,20140327_192400,3-24-14,False,82.52647703921865,2014,3a,202.5,2014-03-27 19:24:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140327_002300.wav,W37,2,20140327_002300,3-24-14,False,45.02533037607209,2014,3a,63.0,2014-03-27 00:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140326_232300.wav,W37,2,20140326_232300,3-24-14,False,40.54336218322608,2014,3a,49.0,2014-03-26 23:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140326_222300.wav,W37,2,20140326_222300,3-24-14,False,42.10480363728095,2014,3a,215.5,2014-03-26 22:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140326_212300.wav,W37,1,20140326_212300,3-24-14,False,49.56629126174966,2014,3a,71.5,2014-03-26 21:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140326_202300.wav,W37,1,20140326_202300,3-24-14,False,51.58639209621165,2014,3a,255.5,2014-03-26 20:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140326_192300.wav,W37,1,20140326_192300,3-24-14,False,54.28270682531335,2014,3a,284.5,2014-03-26 19:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140326_002300.wav,W37,1,20140326_002300,3-24-14,False,38.9709036794337,2014,3a,156.0,2014-03-26 00:23:00
