,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/4-30-15/20150502_204800.wav,56.4950096825114,2015,8a,41.0,2015-05-02 20:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/6-11-15/20150611_211200.wav,56.33061503299256,2015,10a,231.5,2015-06-11 21:12:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/4-2-15/20150403_192800.wav,56.24497708827144,2015,9a,85.0,2015-04-03 19:28:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-23-15/20150225_220300.wav,56.23751600970944,2015,10a,17.0,2015-02-25 22:03:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150511_005300.wav,56.22761392633579,2015,9a,106.0,2015-05-11 00:53:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-12-15/20150312_221400.wav,56.2246062903337,2015,9a,174.5,2015-03-12 22:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-25-15/20150626_211600.wav,56.21029503598377,2015,6a,51.5,2015-06-26 21:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150312_211400.wav,56.1943896346782,2015,10a,88.0,2015-03-12 21:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/2-16-15/20150216_195600.wav,56.15805633172159,2015,7a,51.5,2015-02-16 19:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/2-16-15/20150216_195600.wav,55.9099378913525,2015,8a,109.5,2015-02-16 19:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/5-8-15/20150509_215200.wav,55.87269724051867,2015,6a,39.5,2015-05-09 21:52:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/4-9-15/20150409_203200.wav,55.84762567291225,2015,8a,27.0,2015-04-09 20:32:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-19-15/20150322_202000.wav,55.80601758431308,2015,9a,223.5,2015-03-22 20:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150205_204700.wav,55.49426451837795,2015,6a,220.5,2015-02-05 20:47:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/4-30-15/20150504_224900.wav,55.394340258034255,2015,6a,167.0,2015-05-04 22:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/4-16-15/20150417_213700.wav,55.32132027571606,2015,6a,172.5,2015-04-17 21:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/5-8-15/20150511_235400.wav,55.291781931076734,2015,10a,217.0,2015-05-11 23:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/5-14-15/20150518_205800.wav,55.150289747020736,2015,6a,129.0,2015-05-18 20:58:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150226_190400.wav,55.09552435461988,2015,6a,233.5,2015-02-26 19:04:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150305_230900.wav,55.04982813463076,2015,10a,11.0,2015-03-05 23:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150206_004700.wav,54.94301649621654,2015,6a,222.0,2015-02-06 00:47:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/2-16-15/20150219_005700.wav,54.91671096284332,2015,8a,176.0,2015-02-19 00:57:00
