,file_name,Lcapito,call_time,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_023700.wav,TEST_0+1_20190306_023700.wav,0.0,,28.9364613067548,2019,400,136.5,2019-03-06 02:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_183800.wav,TEST_0+1_20190306_183800.wav,0.0,,66.29217593324843,2019,400,277.0,2019-03-06 18:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_193800.wav,TEST_0+1_20190306_193800.wav,1.0,0:01,317.7265119089038,2019,400,90.0,2019-03-06 19:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_203800.wav,TEST_0+1_20190306_203800.wav,1.0,0:11,114.30397633844257,2019,400,83.0,2019-03-06 20:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_213800.wav,TEST_0+1_20190306_213800.wav,1.0,0:05,36.57132793260629,2019,400,270.0,2019-03-06 21:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_223800.wav,TEST_0+1_20190306_223800.wav,0.0,,33.41142852560338,2019,400,138.5,2019-03-06 22:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_233800.wav,TEST_0+1_20190306_233800.wav,0.0,,40.39261253991118,2019,400,273.0,2019-03-06 23:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_003800.wav,TEST_0+1_20190307_003800.wav,0.0,,35.95920189778642,2019,400,265.5,2019-03-07 00:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_013800.wav,TEST_0+1_20190307_013800.wav,0.0,,30.528650425442507,2019,400,211.5,2019-03-07 01:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_023800.wav,TEST_0+1_20190307_023800.wav,0.0,,30.99906216469548,2019,400,38.5,2019-03-07 02:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_183900.wav,TEST_0+1_20190307_183900.wav,0.0,,34.11617155142531,2019,400,273.5,2019-03-07 18:39:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_193900.wav,TEST_0+1_20190307_193900.wav,1.0,0:38,145.55809141992876,2019,400,134.0,2019-03-07 19:39:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_203900.wav,TEST_0+1_20190307_203900.wav,1.0,0:01,213.1752700382956,2019,400,104.0,2019-03-07 20:39:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_213900.wav,TEST_0+1_20190307_213900.wav,1.0,0:11,218.8496255004489,2019,400,252.0,2019-03-07 21:39:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_223900.wav,TEST_0+1_20190307_223900.wav,1.0,0:06,279.39336009366326,2019,400,82.0,2019-03-07 22:39:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190307_233900.wav,TEST_0+1_20190307_233900.wav,1.0,0:11,276.65308530574555,2019,400,208.5,2019-03-07 23:39:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190308_003900.wav,TEST_0+1_20190308_003900.wav,1.0,0:03,241.27389110994343,2019,400,116.5,2019-03-08 00:39:00
